Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
0,Mozzarella,Dairy,CASE 30lb,5lb BAG,6,OZ-wt,480,6,1,66.76,2,1/18/2017 8:49:08 AM
1,Cheddar,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,2,1,43.65,3,1/18/2017 8:49:08 AM
2,Pepper Jack,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,5,1,43.78,2,1/18/2017 8:49:08 AM
3,Feta,Dairy,CASE 10lb,5lb BAG,2,OZ-wt,160,7,1,28.98,5,1/18/2017 8:49:08 AM
4,Butter,Dairy,CASE 30lb,1lb,30,OZ-wt,480,40,1,76.99,2,1/18/2017 8:49:08 AM
5,Sour Cream,Dairy,CASE 10lb,5lb BUCKET,2,OZ-wt,160,1,0.95,12.4,3,1/18/2017 8:49:08 AM
6,Heavy Cream,Dairy,6 1/2 Gallon,1/2 GALLON,6,CUP,48,1,1,41.5,4,1/18/2017 8:49:08 AM
18,Artichoke Hearts,Dry Goods,6# CANS,CAN,6,OZ-wt,324,6,1,53.22,20,1/18/2017 8:49:08 AM
30,Balsamic Vinegar,Dry Goods,5 LITER,JUG,1,OZ-wt,169.07,0.6,1,17.89,20,1/18/2017 8:49:08 AM
70,Blueberries (Costco),Produce,BASKET,BASKET,1,OZ-wt,32,8,0.85,5.29,100,1/18/2017 8:49:08 AM
